"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"106",1,"continuous",300,300,1,1,1,1,NA,NA,0.5367,0.0574,0.0504,NA,NA,0.8,0.05
"107",1,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0574,0.0504,NA,NA,0.8,0.05
"108",1,"continuous",300,300,1,1,10,10,NA,NA,1,0.0574,0.0504,NA,NA,0.8,0.05
"109",1,"continuous",300,300,1,2,1,1,NA,NA,1,1,1,NA,NA,0.8,0.05
"110",1,"continuous",300,300,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9743,0.9711,NA,NA,0.8,0.05
"111",1,"continuous",300,300,1,2,10,10,NA,NA,1,0.2534,0.2311,NA,NA,0.8,0.05
"112",1,"continuous",300,300,1,3,1,1,NA,NA,1,1,1,NA,NA,0.8,0.05
"113",1,"continuous",300,300,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,0.8,0.05
"114",1,"continuous",300,300,1,3,10,10,NA,NA,1,0.6983,0.6793,NA,NA,0.8,0.05
"115",1,"continuous",300,300,1,4,1,1,NA,NA,1,1,1,NA,NA,0.8,0.05
"116",1,"continuous",300,300,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,0.8,0.05
"117",1,"continuous",300,300,1,4,10,10,NA,NA,1,0.9625,0.9579,NA,NA,0.8,0.05
"118",1,"continuous",300,300,1,5,1,1,NA,NA,1,1,1,NA,NA,0.8,0.05
"119",1,"continuous",300,300,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,0.8,0.05
"120",1,"continuous",300,300,1,5,10,10,NA,NA,1,0.9985,0.9982,NA,NA,0.8,0.05
"121",1,"continuous",350,350,1,1,1,1,NA,NA,0.4614,0.0548,0.0524,NA,NA,0.8,0.05
"122",1,"continuous",350,350,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0548,0.0524,NA,NA,0.8,0.05
"123",1,"continuous",350,350,1,1,10,10,NA,NA,1,0.0548,0.0524,NA,NA,0.8,0.05
"124",1,"continuous",350,350,1,2,1,1,NA,NA,1,1,1,NA,NA,0.8,0.05
"125",1,"continuous",350,350,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9883,0.9875,NA,NA,0.8,0.05
"126",1,"continuous",350,350,1,2,10,10,NA,NA,1,0.2664,0.2602,NA,NA,0.8,0.05
"127",1,"continuous",350,350,1,3,1,1,NA,NA,1,1,1,NA,NA,0.8,0.05
"128",1,"continuous",350,350,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,0.8,0.05
"129",1,"continuous",350,350,1,3,10,10,NA,NA,1,0.7549,0.7498,NA,NA,0.8,0.05
"130",1,"continuous",350,350,1,4,1,1,NA,NA,1,1,1,NA,NA,0.8,0.05
"131",1,"continuous",350,350,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,0.8,0.05
"132",1,"continuous",350,350,1,4,10,10,NA,NA,1,0.9776,0.9769,NA,NA,0.8,0.05
"133",1,"continuous",350,350,1,5,1,1,NA,NA,1,1,1,NA,NA,0.8,0.05
